Species	JanWk1	JanWk2	JanWk3	JanWk4	FebWk1	FebWk2	FebWk3	FebWk4	MarWk1	MarWk2	MarWk3	MarWk4	AprWk1	AprWk2	AprWk3	AprWk4	MayWk1	MayWk2	MayWk3	MayWk4	JunWk1	JunWk2	JunWk3	JunWk4	JulWk1	JulWk2	JulWk3	JulWk4	AugWk1	AugWk2	AugWk3	AugWk4	SepWk1	SepWk2	SepWk3	SepWk4	OctWk1	OctWk2	OctWk3	OctWk4	NovWk1	NovWk2	NovWk3	NovWk4	DecWk1	DecWk2	DecWk3	DecWk4	State
Emperor Goose	0.0182236	0.0225325	0.0154889	0.0172144	0.0183946	0.0150721	0.013533	0.0139477	0.0210599	0.0129961	0.0172518	0.0175587	0.0132365	0.0148272	0.0143341	0.0129275	0.0104976	0.0115553	0.0161563	0.0205266	0.0235518	0.0098838	0.0064948	0.0049362	0.0043825	0.0034167	0.0027032	0.0024225	0.0025268	0.0014201	0.0038534	0.0135971	0.0279193	0.0351229	0.0434521	0.0585768	0.0518144	0.0436478	0.0393182	0.0304118	0.0183691	0.0196839	0.0179175	0.0155591	0.0188611	0.021645	0.0220898	0.025795	AK
Snow Goose	0.0003539	0.0004898	0.0	0.0005869	0.0002787	0.0008737	0.0007198	0.0012453	0.0011571	0.0011604	0.0004012	0.0003633	0.0014528	0.0090922	0.0413559	0.0599249	0.0612458	0.0457553	0.0348479	0.0330507	0.0302762	0.0207037	0.0189027	0.0112363	0.0064883	0.0046525	0.0052374	0.0048451	0.0049635	0.0041655	0.0058295	0.0044604	0.0041777	0.0033387	0.0034581	0.0134209	0.0136551	0.0222883	0.0190909	0.0143559	0.0041748	0.0071578	0.0043949	0.0026371	0.0029017	0.002664	0.0002482	0.0008895	AK
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001614	0.0001399	0.0015	0.0006368	0.0014499	0.0014444	0.000348	0.0002082	0.0001312	5.51e-05	0.0002262	0.0002273	0.0015	0.0002181	8.45e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Graylag Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23e-05	0.0	5.69e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001857	0.0	0.0001889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Greater White-fronted Goose	0.0005308	0.0004898	0.0015	0.0005869	0.0002787	0.0006553	0.000144	0.0	0.0	0.0	0.001003	0.0001211	0.003067	0.0188838	0.0871671	0.1591416	0.1587983	0.1106141	0.0783953	0.0703852	0.0838418	0.0850999	0.0867584	0.0635859	0.0454183	0.0374382	0.0261869	0.0220579	0.0285173	0.0390041	0.0419919	0.0364748	0.0281231	0.0182959	0.0160878	0.018314	0.0252525	0.0130015	0.0143182	0.0143559	0.006123	0.0035789	0.0027045	0.0007911	0.002539	0.002664	0.0032266	0.0002224	AK
Lesser White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002082	0.0015	0.0	9.69e-05	0.0001948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Taiga Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0002184	0.0	0.0	0.0	0.0015	0.0002006	0.0015	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0015	0.0003867	0.000328	5.51e-05	0.0001292	3.25e-05	0.0015	7.27e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0001857	0.0006818	0.0	0.0	0.0	0.0	0.0002637	0.0	0.0	0.0002482	0.0	AK
Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0006989	0.0023862	0.0022311	0.0010497	0.0002203	0.0005816	0.0015	0.0001707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0004006	0.0004511	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Brant	0.0003539	0.0009797	0.0009681	0.0007825	0.0075251	0.0037134	0.0025914	0.0042341	0.0030086	0.0018566	0.0036108	0.0026641	0.0024213	0.0068541	0.0109443	0.0163026	0.0248811	0.0302861	0.0297773	0.0564331	0.0720331	0.0569352	0.0494378	0.038223	0.0258964	0.0189008	0.0125021	0.0108377	0.0110098	0.0123071	0.0153147	0.0216547	0.0230283	0.0360577	0.0383401	0.0476723	0.0561167	0.0462481	0.0279545	0.0187004	0.0175341	0.0116314	0.0047329	0.0044831	0.0014509	0.001998	0.0002482	0.0011119	AK
